Bill Number,Chapter No. (nnnn),XFile Bill Number,Sponsor,Synopsis,Title,Current Status,First Reading Date - House of Origin,Committee Primary - House of Origin,Hearing Date Primary - House of Origin,Hearing Time Primary - House of Origin,Committee Secondary - House of Origin,Hearing Date Secondary - House of Origin,Hearing Time Secondary - House of Origin,Report Date - House of Origin,Report Action - House of Origin,Second Reading Date - House of Origin,Second Reading Action - House of Origin,Third Reading Date - House of Origin,Third Reading Action - House of Origin,First Reading Date - Opposite House,Committee Primary - Opposite House,Hearing Date Primary - Opposite House,Hearing Time Primary - Opposite House,Committee Secondary - Opposite House,Hearing Date Secondary - Opposite House,Hearing Time Secondary - Opposite House,Report Date - Opposite House,Report Action - Opposite House,Second Reading Date - Opposite House,Second Reading Action - Opposite House,Third Reading Date - Opposite House,Third Reading Action - Opposite House,Interaction Between Chambers,Passed by MGA,Emergency Bill,Constitutional Amendment,Broad Subject Name,Broad Subject Code,year_session, status current as of
"HB1009","","SB0789","Delegate Carter","Altering the maximum amount of noneconomic damages that may be recovered in health care malpractice and other civil actions for a catastrophic injury under specified circumstances; etc.","Civil Actions - Noneconomic Damages - Catastrophic Injury","Hearing 3/05 at 1:00 p.m.","2/6/2014","Judiciary ","3/5/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Civil Actions and Procedures","d3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1010","","","Delegate Dwyer","Authorizing a person to plant, grow, harvest, process, possess, sell, and buy industrial hemp in the State; prohibiting specified persons from contracting with or providing specified assistance or support to a federal agency or federal official for the enforcement of specified federal laws, regulations, rules, or orders; authorizing the Attorney General to bring a suit against a political subdivision of the State for a violation of the Act; etc.","Agriculture - Production and Sale of Industrial Hemp","Unfavorable Report by Environmental Matters","2/6/2014","Environmental Matters ","2/19/2014"," 1:00 p.m.","","","","3/27/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Agriculture","m4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1011","","","Delegate Dwyer","Prohibiting an agency of the State, a county of the State, an employee of the State or a county acting in an official capacity, or a member of the Maryland National Guard or the Maryland Defense Force, acting on official State duty, to knowingly aid an agency of the United States in the detention of a person in accordance with a specified federal statute.","Maryland Liberty Preservation Act of 2014","Unfavorable Report by Health and Government Operations","2/6/2014","Health and Government Operations ","3/7/2014","12:30 p.m.","","","","3/15/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Public Safety","e4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1012","","","Prince George's County Delegation","Authorizing the governing body of Prince George's County to grant a property tax credit against the county property tax imposed on specified residential real property; providing for the amount of the credit; authorizing Prince George's County to provide for provisions to carry out the property tax credit; and providing that the Act applies to taxable years beginning after June 30, 2014.","Prince George's County - Property Tax Credit - Qualified Residential Property PG 414-14","Hearing 2/27 at 1:00 p.m.","2/6/2014","Ways and Means ","2/27/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Taxes - Property - Local","q2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1013","","","Prince George's County Delegation","Requiring the Prince George's County Board of Education to install an outdoor synthetic turf field at each public high school in the county during a specified period of time; requiring outdoor synthetic turf fields to be constructed for joint use; requiring specified expenditures to be deemed eligible public school construction costs or capital improvement costs by the Interagency Committee on School Construction for specified purposes; etc.","Prince George's County Board of Education - Public High Schools - Outdoor Synthetic Turf Fields PG 409-14","Hearing 2/25 at 1:00 p.m.","2/6/2014","Appropriations ","2/25/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Education - Local Bills","f3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1014","","","Delegate Valentino-Smith","Authorizing a court, in a specified revocation of probation proceeding, to consider the results of a specified preliminary breath test of alcohol concentration as evidence that the defendant failed to abstain from the use of alcohol under specified circumstances;   authorizing the State to use the results of a preliminary breath test to prove probable cause or reasonable grounds or in a specified revocation of probation proceeding; etc.","Criminal Procedure - Preliminary Breath Test - Evidence","Unfavorable Report by Judiciary","2/6/2014","Judiciary ","2/26/2014"," 1:00 p.m.","","","","3/10/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Criminal Law - Procedure","e2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1015","","","Delegate Arora","Requiring individuals who are convicted of specified alcohol-related driving offenses involving transportation of a minor under the age of 16 years to successfully complete the Ignition Interlock System Program.","Drunk Driving - Transporting a Minor - Ignition Interlock System Program","Returned Passed","2/6/2014","Judiciary ","2/26/2014"," 1:00 p.m.","","","","3/13/2014 12:00:00 AM","Favorable with Amendments","3/10/2014","Passed with Amendments","3/11/2014","Passed","3/13/2014","Judicial Proceedings ","3/25/2014"," 1:00 p.m.","","","","4/3/2014","Favorable","3/29/2014","Passed","3/30/2014","Passed","Returned Passed","Yes","","","Vehicle Laws - Drunk Driving","r3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1016","","","Delegate Dwyer","Stating findings and declarations of the General Assembly relating to federal acts, laws, orders, rules, and regulations resulting in a prohibition of cannabis; prohibiting a State agency, political subdivision of the State, specified agent or employee of the State or a political subdivision of the State, or a specified corporation from taking specified actions in furtherance of a federal act, law, order, rule, or regulation prohibiting cannabis within the State; establishing specified penalties for a violation of the Act; etc.","Cannabis Freedom Act","Unfavorable Report by Judiciary","2/6/2014","Judiciary ","3/13/2014"," 1:00 p.m.","","","","4/7/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Criminal Law - Substantive Crimes","e1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1017","","","Prince George's County Delegation","Requiring the County Executive of Prince George's County to transmit to the clerk of the Prince George's County Council the name of a specified individual appointed to fill a vacancy of an elected member of the Prince George's County Board of Education; and altering a provision relating to a rejection of a specified appointment to establish that, if the County Council does not disapprove the appointment within 45 days after the transmittal of the name of the appointee, the appointment shall be considered approved.","Prince George's County - Board of Education - Elected Member Vacancy - Approval of Appointment PG 422-14","Returned Passed","2/6/2014","Ways and Means ","3/12/2014"," 1:00 p.m.","","","","3/15/2014 12:00:00 AM","Favorable with Amendments","3/12/2014","Passed with Amendments","3/13/2014","Passed","3/13/2014","Education, Health, and Environmental Affairs ","3/28/2014"," 1:00 p.m.","","","","4/3/2014","Favorable","3/26/2014","Passed","3/28/2014","Passed","Returned Passed","Yes","","","Education - Local Bills","f3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1018","","","Delegate Robinson, B.","Establishing the Task Force to Study the Impact of Unemployment Insurance Contribution Fluctuations on Small Businesses; providing for the composition, chair, and staffing of the Task Force; prohibiting a member of the Task Force from receiving specified compensation, but authorizing the reimbursement of specified expenses; requiring the Task Force to examine and make recommendations regarding specified  matters; etc.","Task Force to Study the Impact of Unemployment Insurance Contribution Fluctuations on Small Businesses","Unfavorable Report by Economic Matters","2/6/2014","Economic Matters ","2/28/2014"," 1:00 p.m.","","","","3/12/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Unemployment Insurance","k2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1019","","","Prince George's County Delegation","Repealing the termination date of specified provisions of law establishing the Adults with Developmental Disabilities Citizen's Advisory Committee in Prince George's County.","Prince George's County - Adults With Developmental Disabilities Citizen's Advisory Committee - Sunset Repeal PG 421-14","Returned Passed","2/6/2014","Health and Government Operations ","3/4/2014"," 1:00 p.m.","","","","3/14/2014 12:00:00 AM","Favorable","3/11/2014","Passed","3/12/2014","Passed","3/13/2014","Finance ","4/1/2014"," 1:00 p.m.","","","","4/3/2014","Favorable","3/25/2014","Passed","3/27/2014","Passed","Returned Passed","Yes","","","Public Health","j1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1020","","","Delegate Murphy","Prohibiting a person from stopping, standing, or parking a vehicle that is not a plug-in electric drive vehicle connected for recharging purposes in a parking space that is designated in a specified manner for the use of plug-in electric drive vehicles and provides access to a plug-in vehicle recharging station; establishing standards for signage designating reserved parking for specified plug-in vehicles; etc.","Vehicle Laws - Plug-In Electric Drive Vehicles - Reserved Parking Spaces","Unfavorable Report by Environmental Matters","2/6/2014","Environmental Matters ","2/25/2014"," 1:00 p.m.","","","","3/10/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Vehicle Laws - Rules of the Road","r5","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1021","","","Prince George's County Delegation","Requiring the Department of Housing and Community Development and the Commissioner of Financial Regulation to conduct specified analyses based on the available data of specified foreclosure trends for residential real property in Prince George's County; requiring the Department and the Commissioner to report the Department's and the Commissioner's findings to specified committees and specified delegations of the General Assembly on or before December 31, 2014; etc.","Prince George's County - Foreclosure - Report by Department of Housing and Community Development and Commissioner of Financial Regulation PG 411-14","First Reading Senate Rules","2/6/2014","Environmental Matters ","4/1/2014"," 1:00 p.m.","","","","4/7/2014 12:00:00 AM","Favorable with Amendments","4/1/2014","Passed with Amendments","4/2/2014","Passed","3/31/2014","Rules ","","","","","","","","","","","","","No","","","Real Property","n1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1022","","","Prince George's County Delegation","Expanding to nine the membership of the Board of License Commissioners of Prince George's County; requiring the Governor to appoint at least one commissioner from each legislative district in the county; requiring specified central committees to designate each commissioner serving on June 30, 2014, as an eligible candidate, with a specified exception; providing that the compensation for the Howard County Appointed Alcoholic Beverage Hearing Board shall be the amount set by the Howard County Council; etc.","Howard County and Prince George's County - Alcoholic Beverages - Membership and Compensation of Boards PG 309-14","Hearing 3/28 at 1:00 p.m.","2/6/2014","Economic Matters ","3/3/2014"," 1:00 p.m.","","","","3/12/2014 12:00:00 AM","Favorable with Amendments","3/9/2014","Passed with Amendments","3/10/2014","Passed","3/11/2014","Education, Health, and Environmental Affairs ","3/28/2014"," 1:00 p.m.","","","","","","","","","","","No","","","Alcoholic Beverages - Local Bills","a2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1023","","","Delegate Stukes","Requiring the Comptroller to distribute lottery proceeds from the third week of July every year to specified counties to provide funding for county parks and recreation departments; providing that the distribution to a county may occur only with the approval of the governing body of the county; providing that the money distributed under the Act shall provide additional revenue for county parks and recreation departments and may not supplant any other funds provided to those departments; etc.","State Lottery - Proceeds - Parks and Recreation Departments","Hearing 3/04 at 1:00 p.m.","2/6/2014","Ways and Means ","3/4/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","State Government - Agencies, Offices, and Officials","p1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1024","","SB0137","Delegate McIntosh","Extending to fiscal year 2030 the fiscal year through which the Governor is authorized to include an appropriation in the budget bill for the Rural Maryland Prosperity Investment Fund; altering the manner in which disbursements of money appropriated to the Fund are required to be made; requiring that any money received by a regional council under a specified provision of law be used for a specified purpose; extending the termination date of the Fund to June 30, 2030; etc.","Rural Maryland Prosperity Investment Fund - Revisions and Extension of Termination Date","Returned Passed","2/6/2014","Environmental Matters ","2/19/2014"," 1:00 p.m.","","","","3/3/2014 12:00:00 AM","Favorable","3/3/2014","Passed","3/6/2014","Passed","3/7/2014","Education, Health, and Environmental Affairs ","","","","","","3/31/2014","Favorable","3/23/2014","Passed","3/24/2014","Passed","Returned Passed","Yes","","","Economic and Community Development","c8","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1025","","","Delegate Hixson","Requiring that specified selection plans for specified employment in the State Personnel Management System include information that selection for a specified position may be limited to consideration of specified contractual employees; authorizing specified appointing authorities to select specified candidates from a list of contractual employees; etc.","State Personnel - Contractual Employees - Filling of Vacant Positions","Returned Passed","2/6/2014","Appropriations ","3/4/2014"," 1:00 p.m.","","","","3/15/2014 12:00:00 AM","Favorable with Amendments","3/12/2014","Passed with Amendments","3/13/2014","Passed","3/13/2014","Finance ","4/2/2014"," 1:00 p.m.","","","","4/4/2014","Favorable","3/26/2014","Passed","3/28/2014","Passed","Returned Passed","Yes","","","State Government - Personnel","p4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1026","","SB0737","Delegate Kelly, A.","Providing specified employees a total of 6 workweeks of unpaid parental leave in a 12-month period under specified circumstances; authorizing an employer to deny unpaid parental leave to an eligible employee under specified circumstances; authorizing, under specified circumstances, an employer to require an eligible employee, or an eligible employee to elect, to substitute paid leave for any part of or all of the period of parental leave; requiring employers to maintain health coverage during the duration of parental leave; etc.","Labor and Employment - Unpaid Parental Leave - Birth or Adoption of a Child","Passed Enrolled","2/6/2014","Economic Matters ","2/28/2014"," 1:00 p.m.","","","","3/14/2014 12:00:00 AM","Favorable with Amendments","3/12/2014","Passed with Amendments","3/13/2014","Passed","3/13/2014","Finance ","3/26/2014"," 1:00 p.m.","","","","3/31/2014","Favorable with Amendments","3/22/2014","Passed with Amendments","3/23/2014","Passed with Amendments","Concurred","Yes","","","Private Sector Labor and Industry","k3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1027","","","Prince George's County Delegation","Providing an exception to the requirement that funds for the payment of specified common expenses be obtained by assessment against the unit owners in a specified proportion; providing that, notwithstanding any rule, declaration, or bylaw, in Prince George's County, a unit owner may not be charged an assessment that exceeds 20% of any mortgage payments the unit owner is required to make on the unit during the period covered by the assessment; etc.","Prince George's County - Condominiums - Limit on Assessments PG 419-14","Unfavorable Report by Environmental Matters; Withdrawn","2/6/2014","Environmental Matters ","","","","","","3/3/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Real Property","n1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1028","","","Prince George's County Delegation","Requiring the Prince George's County Department of Environmental Resources to prepare a specified report on the county funding plan established for the local Watershed Protection and Restoration Program of Prince George's County; requiring the report to include specified information relating to the collection and use of program funds and specified recommendations concerning residential fee structures under the program; etc.","Prince George's County - Watershed Protection and Restoration Program - Report on County Funding Plan PG 417-14","Hearing 3/07 at 1:00 p.m.","2/6/2014","Environmental Matters ","3/7/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Counties - Local Laws","l2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1029","","SB0852","Delegate Murphy","Providing that the Maryland Pharmacy Act does not apply to a person who only dispenses prescription devices that do not contain a prescription drug, prescription devices within which the only prescription drug is medical oxygen, durable medical equipment as defined by the Centers for Medicare and Medicaid Services, or prosthetics, orthotics and related supplies.","Health Occupations - Dispensers of Devices and Equipment - Exclusion From the Maryland Pharmacy Act","Returned Passed","2/6/2014","Health and Government Operations ","2/27/2014"," 1:00 p.m.","","","","3/11/2014 12:00:00 AM","Favorable with Amendments","3/9/2014","Passed with Amendments","3/10/2014","Passed","3/11/2014","Education, Health, and Environmental Affairs ","","","","","","3/31/2014","Favorable","3/23/2014","Passed","3/24/2014","Passed","Returned Passed","Yes","","","Health Occupations","j2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1030","","","Delegate Morhaim","Requiring an applicant for a specified permit for the hydraulic fracturing of a well for the exploration or production of natural gas to submit specified information to the Department of Health and Mental Hygiene in a specified manner; establishing the Hydraulic Fracturing Chemical Education and Impact Fund for specified purposes; requiring the Department to establish a specified fee by regulation; establishing a specified civil penalty for specified violations; etc.","Public Health - Hydraulic Fracturing Chemicals - Information and Fund","Hearing 2/28 at 1:00 p.m.","2/6/2014","Environmental Matters ","2/28/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Public Health","j1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1031","","SB0586","Delegate Anderson","Authorizing an unannounced inspection of a licensed funeral establishment by the State Board of Morticians and Funeral Directors to include advance notice that an inspector may be in the region for the purpose of conducting the inspection under specified circumstances; authorizing a trained staff member of the Board to call the supervising mortician of a licensed funeral establishment and request immediate access to the preparation and body storage areas of the funeral establishment; etc.","State Board of Morticians and Funeral Directors - Funeral Establishments - Unannounced Inspections","Passed Enrolled","2/6/2014","Health and Government Operations ","3/5/2014"," 1:00 p.m.","","","","3/17/2014 12:00:00 AM","Favorable with Amendments","3/13/2014","Passed with Amendments","3/14/2014","Passed","3/13/2014","Education, Health, and Environmental Affairs ","","","","","","3/31/2014","Favorable with Amendments","3/23/2014","Passed with Amendments","3/24/2014","Passed with Amendments","Concurred","Yes","","","Health Occupations","j2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1032","","","Delegate Gutierrez","Prohibiting a collector from initiating contact with a debtor or a person related to the debtor under specified circumstances; requiring a collector who is collecting or attempting to collect a debt for which the statute of limitations has expired to inform a debtor of specified information in specified communications; and prohibiting a court from entering a judgment by default against a specified debtor under specified circumstances.","Consumer Debt Collection - Statute of Limitations (Maryland Zombie Debt Act)","Unfavorable Report by Economic Matters","2/6/2014","Economic Matters ","2/21/2014"," 1:00 p.m.","","","","3/12/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Commercial Law - Consumer Protection","i3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1033","","SB1034","Queen Anne's County Delegation","Altering provisions of law concerning the filling of a vacancy on the  Queen Anne's County Board of Education; providing for the holding of an election to fill a vacancy on the county board under specified  circumstances; and providing that a member appointed by the Governor to fill a vacancy on the county board serves only for a specified period.","Queen Anne's County Board of Education - Filling a Vacancy in Membership","Returned Passed","2/6/2014","Ways and Means ","3/12/2014"," 1:00 p.m.","","","","3/15/2014 12:00:00 AM","Favorable","3/12/2014","Passed","3/13/2014","Passed","3/13/2014","Education, Health, and Environmental Affairs ","","","","","","3/31/2014","Favorable","3/23/2014","Passed","3/24/2014","Passed","Returned Passed","Yes","","","Education - Local Bills","f3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1034","","SB0901","Queen Anne's County Delegation","Providing a school bus may be operated in Kent County and Queen Anne's County for a period of 15 years under specified circumstances.","Kent County and Queen Anne's County - School Buses - Length of Operation","Returned Passed","2/6/2014","Environmental Matters ","3/7/2014"," 1:00 p.m.","","","","3/13/2014 12:00:00 AM","Favorable with Amendments","3/10/2014","Passed with Amendments","3/11/2014","Passed","3/13/2014","Judicial Proceedings ","","","","","","4/1/2014","Favorable","3/24/2014","Passed","3/26/2014","Passed","Returned Passed","Yes","","","Education - Local Bills","f3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1035","","","Prince George's County Delegation","Altering the membership and duties of the Prince George's County Juvenile Court and School Safety Workgroup; requiring the Workgroup to report its findings and recommendations to the Prince George's County Delegation on or before December 15, 2014.","Prince George's County Juvenile Court and School Safety Workgroup - Membership and Duties PG 305-14","Returned Passed","2/6/2014","Ways and Means ","3/12/2014"," 1:00 p.m.","","","","3/15/2014 12:00:00 AM","Favorable with Amendments","3/12/2014","Passed with Amendments","3/13/2014","Passed","3/13/2014","Education, Health, and Environmental Affairs ","3/28/2014"," 1:00 p.m.","","","","4/3/2014","Favorable","3/26/2014","Passed","3/28/2014","Passed","Returned Passed","Yes","","","Juvenile Law","e3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1036","","SB0796","Delegate Washington, M.","Repealing the Governor's Advisory Board on Homelessness and establishing an Interagency Council on Homelessness; establishing the membership, staffing, chair, quorum, and meeting times of the Council; prohibiting a member of the Council from receiving specified compensation but authorizing the reimbursement of specified expenses; establishing specified duties of the Council; requiring the Department of Human Resources to adopt specified regulations; etc.","Human Services - Interagency Council on Homelessness","Rereferred to Finance","2/6/2014","Appropriations ","3/4/2014"," 1:00 p.m.","","","","4/3/2014 12:00:00 AM","Favorable with Amendments","3/27/2014","Passed with Amendments","3/28/2014","Passed","3/27/2014","Finance ","","","","","","","","","","","","","No","","","Social Services - Generally","o1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1037","","","Delegate Fisher","Providing that the Calvert County Board of County Commissioners may not prohibit the construction and use of specified target ranges in specified zoning districts in the county; etc.","Calvert County - Zoning - Target Ranges","Hearing 3/07 at 1:00 p.m.","2/6/2014","Environmental Matters ","3/7/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Counties - Local Laws","l2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1038","","SB0655","Delegate Niemann","Altering and defining terms in specified provisions of real property law concerning a contract for the initial sale of a new home in order to conform to terms and provisions of the Maryland Home Builder Registration Act.","Real Property - Requirements for New Home Sales Contracts - Clarification of Terms","Hearing 2/20 at 1:00 p.m.","2/6/2014","Environmental Matters ","2/20/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Real Property","n1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1039","","","Delegate Washington, M.","Requiring the governing body of a condominium to grant a specified individual exception to any provision of the declaration, bylaws, or rules of the condominium that limits rentals under specified circumstances; requiring a condominium unit owner to be granted the individual exception if the unit owner submits a specified written request and specified evidence; establishing a 3-year term for an exception granted under the Act; requiring a governing body to provide a specified denial in writing; etc.","Condominiums - Individual Exceptions to Limitations on Rentals (Maryland Condominium Owners Emergency Relief Act)","Hearing 2/20 at 1:00 p.m.","2/6/2014","Environmental Matters ","2/20/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Real Property","n1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1040","","SB0879","Delegate Washington, M.","Authorizing the electronic transmission of disciplinary appeal documents and decisions to appropriate parties; requiring the Secretary of Budget and Management to make forms for initiating and processing grievances available on the Department of Budget and Management's Web site; and authorizing the electronic transmission of copies of grievances and dispositions.","State Personnel - Disciplinary Appeal and Grievance Procedure Documents - Electronic Transmission","Returned Passed","2/6/2014","Appropriations ","3/4/2014"," 1:00 p.m.","","","","3/10/2014 12:00:00 AM","Favorable with Amendments","3/8/2014","Passed with Amendments","3/9/2014","Passed","3/10/2014","Finance ","3/26/2014"," 1:00 p.m.","","","","4/3/2014","Favorable","3/25/2014","Passed","3/27/2014","Passed","Returned Passed","Yes","","","State Government - Personnel","p4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1041","","SB0553","Delegate McComas","Repealing a requirement that the State Department of Assessments and Taxation maintain a database, available to the public on the Department's Web site, that relates to the valuation of specified real property in the State and includes specified information about each property; requiring the Department to maintain a database, available to the public on the Department's Web site, of assessment worksheets and cards that relate to the valuation of real property in the State; etc.","Property Tax - Valuation of Real Property - Internet Database","Hearing 3/06 at 1:00 p.m.","2/6/2014","Ways and Means ","3/6/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Taxes - Property","q1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1042","","SB0648","Delegate Anderson","Requiring the State Board of Morticians and Funeral Directors to issue an executor license to an applicant if the applicant is the appointed personal representative of a deceased surviving spouse's estate under specified circumstances; requiring an applicant for an executor license to submit to the Board within a specified time period the name of a licensed funeral director or mortician who has agreed to apply for a specified pre-need trustee license; requiring the Board to provide for the term of an executor license; etc.","State Board of Morticians and Funeral Directors - Funeral Establishments Owned by a Single Owner - Pre-Need Trustee Licenses and Public Notification of Death","Passed Enrolled","2/6/2014","Health and Government Operations ","3/5/2014"," 1:00 p.m.","","","","3/15/2014 12:00:00 AM","Favorable with Amendments","3/12/2014","Passed with Amendments","3/13/2014","Passed","3/13/2014","Education, Health, and Environmental Affairs ","","","","","","3/31/2014","Favorable with Amendments","3/23/2014","Passed with Amendments","3/24/2014","Passed with Amendments","Concurred","Yes","","","Health Occupations","j2","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1043","","","Prince George's County Delegation","Requiring a registered home builder in Prince George's County to include specified information relating to deferred water and sewer charges in specified sales contracts under specified circumstances; requiring a specified contract for the initial sale of residential real property in the county to include specified information relating to deferred water and sewer charges; requiring  the county to study   issues related to deferred water and sewer charges and report the findings to the Prince George's County Senators and Delegates; etc.","Prince George's County - Deferred Water and Sewer Charges Homeowner Disclosure Act of 2014 PG 413-14","Returned Passed","2/6/2014","Environmental Matters ","3/7/2014"," 1:00 p.m.","","","","3/13/2014 12:00:00 AM","Favorable with Amendments","3/10/2014","Passed with Amendments","3/11/2014","Passed","3/13/2014","Education, Health, and Environmental Affairs ","3/28/2014"," 1:00 p.m.","","","","4/2/2014","Favorable","3/25/2014","Passed","3/27/2014","Passed","Returned Passed","Yes","","","Bi-County Agencies","l5","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1044","","","Prince George's County Delegation","Requiring, to the extent practicable, an election judge in Prince George's County to allow a disabled voter who is in a waiting line to vote to sit while waiting or to move the disabled voter to the front of the waiting line.","Prince George's County - Election Law - Polling Places - Accommodations for Disabled Voters PG 410-14","Hearing 2/20 at 1:00 p.m.","2/6/2014","Ways and Means ","2/20/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Elections","g1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1045","","","Delegate Arora","Including escrow costs in a specified calculation to determine whether a refinance mortgage shall have, on recordation, the same lien priority as the first mortgage or deed of trust that the refinance mortgage replaces; defining 'escrow costs' to mean money to pay specified costs associated with the real property secured by a refinance mortgage that a lender requires to be collected at closing and held in escrow; and applying the Act prospectively.","Real Property - Lien Priority of Refinance Mortgages - Escrow Costs","Returned Passed","2/6/2014","Environmental Matters ","2/20/2014"," 1:00 p.m.","","","","3/3/2014 12:00:00 AM","Favorable with Amendments","3/3/2014","Passed with Amendments","3/6/2014","Passed","3/7/2014","Judicial Proceedings ","3/19/2014"," 1:00 p.m.","","","","4/1/2014","Favorable","3/24/2014","Passed","3/26/2014","Passed","Returned Passed","Yes","","","Real Property","n1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1046","","","Prince George's County Delegation","Requiring specified employees of the City of College Park who are employed by the City of College Park on the date the City of College Park joins the Employees' Pension System to participate in the Employees' Pension System as of that date; providing that membership in the Employees' Pension System is optional for specified employees of the City of College Park; providing for specified employees of the City of College Park to receive service credit equal to 60% of the employee's service with the City of College Park; etc.","City of College Park Employees - Participation in the Employees' Pension System PG 404-14","Returned Passed","2/6/2014","Appropriations ","2/25/2014"," 1:00 p.m.","","","","3/3/2014 12:00:00 AM","Favorable","3/4/2014","Passed","3/6/2014","Passed","3/7/2014","Budget and Taxation ","3/20/2014"," 9:00 a.m.","","","","4/1/2014","Favorable","3/23/2014","Passed","3/24/2014","Passed","Returned Passed","Yes","","","State Pensions and Retirement","k4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB1047","","","Prince George's County Delegation","Providing that membership in the Employees' Pension System is optional for specified individuals employed by Prince George's County in specified positions on or after specified dates; requiring individuals who elect to join the Employees' Pension System to make the election within a specified period of time; providing that membership in the Employees' Pension System is prohibited for specified individuals; requiring the State Retirement Agency to provide a specified report on or before December 1, 2014, to the Joint Committee on Pensions; etc.","Employees' Pension System - Prince George's County Officials - Membership PG 418-14","Returned Passed","2/6/2014","Appropriations ","2/25/2014"," 1:00 p.m.","","","","3/11/2014 12:00:00 AM","Favorable with Amendments","3/10/2014","Passed with Amendments","3/11/2014","Passed","3/13/2014","Budget and Taxation ","3/27/2014"," 9:00 a.m.","","","","4/2/2014","Favorable","3/25/2014","Passed","3/27/2014","Passed","Returned Passed","Yes","","","State Pensions and Retirement","k4","2014 Regular Session","4/9/2014 6:00:56 PM"
